,Task,Core,Start,End,Rank
170,715,0,665998.3666932998,667412.4910584999,769772.6066650002
171,716,0,667412.4910584999,671305.8482086,768358.4822998001
172,707,0,671305.8482086,671816.6762775,764465.1251497001
173,708,0,671816.6762775,673937.4755805,763954.2970808
174,709,0,673937.4755805,679571.5657507,761833.4977778001
175,710,0,679571.5657507,680725.1779289,756199.4076076001
176,1382,0,680725.1779289,682186.2718262,755045.7954294
177,1385,0,682186.2718262,684662.3913325999,753584.7015321001
178,1391,0,684662.3913325999,685968.5668523,751108.5820257001
179,1398,0,685968.5668523,691453.3826987,749802.4065060001
180,1400,0,691453.3826987,694152.9066008,744317.5906596001
181,1401,0,694152.9066008,696083.1610555,741618.0667575
182,1402,0,696083.1610555,700612.2870665,739687.8123028
183,1403,0,700612.2870665,700915.8691169,735158.6862918
184,1386,0,700915.8691169,708522.1003559,734855.1042414
185,1388,0,708522.1003559,716032.7149683,727248.8730024
186,1393,0,716032.7149683,717051.1498196999,719738.2583900001
187,1394,0,717051.1498196999,720044.3518274999,718719.8235386001
188,1396,0,720044.3518274999,720350.5716925999,715726.6215308001
189,1399,0,720350.5716925999,725187.7671060999,715420.4016657001
190,745,0,725187.7671060999,731282.5036763998,710583.2062522002
191,746,0,731282.5036763998,734022.0903391999,704488.4696819002
192,747,0,734022.0903391999,738214.7115462999,701748.8830191002
193,754,0,738214.7115462999,742765.6845796999,697556.2618120002
194,755,0,742765.6845796999,744028.3282985999,693005.2887786002
195,756,0,744028.3282985999,748882.0774259999,691742.6450597001
196,757,0,748882.0774259999,749293.4396552999,686888.8959323001
197,748,0,749293.4396552999,756200.7411733998,686477.5337030002
198,749,0,756200.7411733998,760773.9471229998,679570.2321849002
199,750,0,760773.9471229998,763020.0295383998,674997.0262353002
200,751,0,763020.0295383998,769390.5303508998,672750.9438199003
201,752,0,769390.5303508998,773234.5941503998,666380.4430074003
202,753,0,773234.5941503998,779047.3286356998,662536.3792079003
203,773,0,779047.3286356998,781226.2403379998,656723.6447226002
204,774,0,781226.2403379998,785441.6723755997,654544.7330203003
205,775,0,785441.6723755997,786581.8839537997,650329.3009827003
206,776,0,786581.8839537997,793017.7720129997,649189.0894045003
207,777,0,793017.7720129997,797098.5312373998,642753.2013453003
208,781,0,797098.5312373998,802734.2144862998,638672.4421209003
209,782,0,802734.2144862998,806178.9374657997,633036.7588720003
210,783,0,806178.9374657997,808240.4806417997,629592.0358925003
211,784,0,808240.4806417997,816089.8940151997,627530.4927165003
212,785,0,816089.8940151997,820281.9401759998,619681.0793431003
213,778,0,820281.9401759998,827530.0277640998,615489.0331823003
214,1238,0,827530.0277640998,830498.0221164997,609467.3089266999
215,779,0,830498.0221164997,836669.1297639997,608240.9455942003
216,455,0,836669.1297639997,842701.4654674997,606729.8252054
217,810,0,842701.4654674997,843992.2450840997,606304.0928865001
218,802,0,843992.2450840997,845625.3752053997,605013.3132699
219,803,0,845625.3752053997,852569.8688692997,603380.1831486
220,1240,0,852569.8688692997,858476.4950847996,599312.8510924999
221,457,0,858476.4950847996,860152.9173028996,597237.4892404
222,804,0,860152.9173028996,864816.7729170996,596435.6894847001
223,465,0,864816.7729170996,867006.0784919997,594895.4011881
224,758,0,867006.0784919997,870995.6666622997,593406.224877
225,466,0,870995.6666622997,872372.8489208997,592706.0956132
226,805,0,872372.8489208997,879661.5795982997,591771.8338705001
227,1026,0,879661.5795982997,881204.8750073997,590673.6551081002
228,759,0,881204.8750073997,881900.7367241997,589416.6367067
229,1030,0,881900.7367241997,882739.7814039998,589130.3596990001
230,1031,0,882739.7814039998,885966.1793367998,588291.3150192001
231,331,0,885966.1793367998,891932.2144038997,586064.3065915002
232,1032,0,891932.2144038997,897532.7402053997,585064.9170864001
233,473,0,897532.7402053997,898862.1061407997,583775.1514098999
234,769,0,898862.1061407997,905230.5964202997,582628.6536919
235,332,0,905230.5964202997,908401.4253393997,580098.2715244002
236,475,0,908401.4253393997,913062.5374481997,578471.0050626999
237,1039,0,913062.5374481997,918728.4938485997,577480.3763990002
238,339,0,918728.4938485997,921044.7808372998,575148.6121866002
239,1469,0,921044.7808372998,921410.8489765998,574960.9561116
240,1471,0,921410.8489765998,926791.1382462997,574594.8879723
241,340,0,926791.1382462997,930167.3636134997,572832.3251979002
242,771,0,930167.3636134997,933233.6023402996,572216.4121242999
243,851,0,933233.6023402996,937434.2291666997,570178.9760218
244,1474,0,937434.2291666997,943894.0185053997,569214.5987026001
245,344,0,943894.0185053997,946232.7131526998,568250.2968669002
246,762,0,946232.7131526998,947062.1358251998,566873.0364040999
247,763,0,947062.1358251998,952334.2148306997,566043.6137315999
248,856,0,952334.2148306997,955031.3029632997,565978.3491953999
249,857,0,955031.3029632997,958540.2785571996,563281.2610628
250,1465,0,958540.2785571996,961322.6725605996,562754.8093639001
251,764,0,961322.6725605996,966172.1129285996,560771.5347260999
252,858,0,966172.1129285996,966525.5877498996,559772.2854689
253,470,0,966525.5877498996,967448.6982785997,559508.3797467999
254,859,0,967448.6982785997,970992.4733208996,559418.8106476
255,471,0,970992.4733208996,977396.6816409996,558585.2692180999
256,333,0,977396.6816409996,979672.5990833996,556105.2250806001
257,766,0,979672.5990833996,986694.5649144996,555471.6443163999
258,347,0,986694.5649144996,992793.3919120997,552933.8325308001
259,238,0,992793.3919120997,999527.9915406996,552181.0608979999
260,854,0,999527.9915406996,1000625.4662503996,548310.2771339
261,1473,0,1000625.4662503996,1004504.6955438996,547998.7299811001
262,351,0,1004504.6955438996,1010509.1385820996,546835.0055332001
263,1044,0,1010509.1385820996,1015721.5603455995,545770.056413
264,1475,0,1015721.5603455995,1018780.7249843995,544119.5006876001
265,240,0,1018780.7249843995,1019952.0293087995,542196.6513536
266,823,0,1019952.0293087995,1026818.4945286995,541060.3360488001
267,352,0,1026818.4945286995,1032883.2496423996,540830.5624950001
268,905,0,1032883.2496423996,1039101.9030420996,539642.2898453
269,242,0,1039101.9030420996,1044412.2799733996,536785.8848744
270,963,0,1044412.2799733996,1045551.7598268996,535635.4515728
271,353,0,1045551.7598268996,1047579.6301609996,534765.8073813
272,964,0,1047579.6301609996,1054711.9594546997,534495.9717193
273,354,0,1054711.9594546997,1055248.1685339997,532737.9370472
274,355,0,1055248.1685339997,1058612.9589432997,532201.7279679
275,1054,0,1058612.9589432997,1063693.2205044997,531833.9667688999
276,825,0,1063693.2205044997,1070543.8250515996,530158.3054191001
277,1288,0,1070543.8250515996,1075066.4502907996,528124.049783
278,1055,0,1075066.4502907996,1082296.9847231996,526753.7052076999
279,274,0,1082296.9847231996,1088531.3414689996,525653.1703724
280,826,0,1088531.3414689996,1094214.3780653996,523307.7008720001
281,906,0,1094214.3780653996,1101305.2147849996,520015.8204438
282,275,0,1101305.2147849996,1108170.3757701996,519418.8136266
283,830,0,1108170.3757701996,1111628.7383992996,517624.66427560005
284,400,0,1111628.7383992996,1115587.3019727995,515671.0186012
285,831,0,1115587.3019727995,1118162.9427696995,514166.30164650007
286,1281,0,1118162.9427696995,1119707.9724912995,513741.63506359997
287,908,0,1119707.9724912995,1122577.4532061995,512924.9837242
288,1285,0,1122577.4532061995,1124237.2830503995,512196.60534199997
289,1059,0,1124237.2830503995,1131046.6718100996,512003.60293769994
290,1291,0,1131046.6718100996,1136182.5620279997,510536.7754978
291,405,0,1136182.5620279997,1140434.5834614998,508624.179608
292,833,0,1140434.5834614998,1146887.5597247998,508174.04731510003
293,911,0,1146887.5597247998,1147823.7067410997,506055.1263288
294,1294,0,1147823.7067410997,1148490.5052039998,505400.8852799
295,912,0,1148490.5052039998,1153359.0024590997,505118.9793125
296,974,0,1153359.0024590997,1156511.5679274998,504013.39313529996
297,407,0,1156511.5679274998,1157985.3458607998,503201.7374751
298,408,0,1157985.3458607998,1161802.4683213998,501727.95954179997
299,834,0,1161802.4683213998,1167542.0971608998,501721.07105180004
300,244,0,1167542.0971608998,1172761.8918018998,500510.1430961
301,901,0,1172761.8918018998,1177878.8783932999,500250.4820574
302,1292,0,1177878.8783932999,1179644.0008573998,496202.1168929
303,835,0,1179644.0008573998,1183669.5614704997,495981.4422123
304,245,0,1183669.5614704997,1187255.5366122997,495290.34845510003
305,902,0,1187255.5366122997,1189617.6594353998,495133.495466
306,968,0,1189617.6594353998,1195144.3454065998,494580.18385609996
307,903,0,1195144.3454065998,1201899.9866966999,492771.3726429
308,403,0,1201899.9866966999,1203833.8417357,489242.22072599997
309,1301,0,1203833.8417357,1206259.8311096,488788.1917946
310,973,0,1206259.8311096,1212670.7042647,488113.52782869997
311,247,0,1212670.7042647,1218811.4653059,487843.4157148
312,1303,0,1218811.4653059,1223471.013053,486362.2024207
313,829,0,1223471.013053,1225306.4456946999,483538.0873153
314,1404,0,1225306.4456946999,1232448.8312016,481702.6546736
315,1405,0,1232448.8312016,1236194.8858011,474560.26916669996
316,1408,0,1236194.8858011,1241275.4072691998,470814.21456719993
317,1410,0,1241275.4072691998,1246749.0230782,465733.6930990999
318,1411,0,1246749.0230782,1247189.9453802,460260.0772900999
319,1406,0,1247189.9453802,1253602.6723822,459819.15498809994
320,1407,0,1253602.6723822,1261557.0433125,453406.42798609997
321,1409,0,1261557.0433125,1269188.8352324,445452.0570558
322,1412,0,1269188.8352324,1275713.7040097,437820.2651359
323,1413,0,1275713.7040097,1281067.4195994001,431295.3963586
324,1414,0,1281067.4195994001,1285100.310917,425941.6807689
325,1415,0,1285100.310917,1288483.9907364,421908.78945130005
326,1416,0,1288483.9907364,1289754.9791696,418525.10963190004
327,654,0,1289754.9791696,1291236.4625700999,417254.12119870004
328,655,0,1291236.4625700999,1292401.4277255998,415772.63779820007
329,656,0,1292401.4277255998,1300193.4716927998,414607.6726427001
330,657,0,1300193.4716927998,1300802.0599337,406815.6286755001
331,658,0,1300802.0599337,1303433.1364111998,406207.0404346001
332,664,0,1303433.1364111998,1305545.6977555999,403575.96395710006
333,665,0,1305545.6977555999,1312576.8103033998,401463.40261270007
334,666,0,1312576.8103033998,1312836.8034930998,394432.29006490007
335,659,0,1312836.8034930998,1314137.0989132999,394172.29687520006
336,660,0,1314137.0989132999,1321596.5255610999,392872.0014550001
337,661,0,1321596.5255610999,1326640.3452577,385412.57480720006
338,662,0,1326640.3452577,1331640.9087883,380368.75511060003
339,663,0,1331640.9087883,1334336.3769216,375368.19158000004
340,621,0,1334336.3769216,1335631.0724174,372672.7234467
341,622,0,1335631.0724174,1338072.8607338,371378.0279509
342,623,0,1338072.8607338,1342960.0405998002,368936.2396345
343,627,0,1342960.0405998002,1346150.3806020003,364049.0597685
344,628,0,1346150.3806020003,1352528.3886689004,360858.7197663
345,629,0,1352528.3886689004,1355699.4023310004,354480.7116994
346,630,0,1355699.4023310004,1359879.1885883005,351309.69803729997
347,631,0,1359879.1885883005,1366142.3161422005,347129.91177999997
348,624,0,1366142.3161422005,1369264.6998814004,340866.78422609996
349,625,0,1369264.6998814004,1370418.1175167004,337744.40048689995
350,626,0,1370418.1175167004,1372795.9080462004,336590.9828515999
351,1066,0,1372795.9080462004,1377760.9836781004,334213.19232209993
352,1067,0,1377760.9836781004,1384077.8103105004,329248.11669019994
353,1073,0,1384077.8103105004,1390375.7132857004,322931.29005779995
354,1075,0,1390375.7132857004,1393251.6822354004,316633.3870826
355,1079,0,1393251.6822354004,1394711.7888399004,313757.41813289997
356,1068,0,1394711.7888399004,1399311.5757368004,312297.3115284
357,1069,0,1399311.5757368004,1402455.8086636004,307697.5246315
358,1085,0,1402455.8086636004,1406373.6609985004,304553.29170470004
359,1087,0,1406373.6609985004,1406675.4153628005,300635.43936980003
360,1074,0,1406675.4153628005,1411641.9731563004,300333.68500550004
361,1076,0,1411641.9731563004,1412723.3905547003,295367.127212
362,1081,0,1412723.3905547003,1419981.1795885002,294285.7098136
363,1082,0,1419981.1795885002,1425478.6424748,287027.9207798
364,1084,0,1425478.6424748,1433102.8366781,281530.4578935
365,1119,0,1433102.8366781,1440810.4842149,273906.2636902
366,1121,0,1440810.4842149,1447778.1029364,266198.6161534
367,1125,0,1447778.1029364,1452054.8897415001,259230.99743189997
368,1130,0,1452054.8897415001,1458965.9691785001,254954.21062679996
369,1133,0,1458965.9691785001,1461149.7948926,248043.13118979995
370,1134,0,1461149.7948926,1463884.0222224,245859.30547569995
371,1139,0,1463884.0222224,1471798.8579763998,243125.07814589996
372,1140,0,1471798.8579763998,1472412.1709980997,235210.24239189996
373,1142,0,1472412.1709980997,1475857.0402752997,234596.92937019994
374,1144,0,1475857.0402752997,1478367.5160895996,231152.06009299995
375,1135,0,1478367.5160895996,1482177.6618421995,228641.58427869994
376,1136,0,1482177.6618421995,1486423.7828026996,224831.43852609996
377,1137,0,1486423.7828026996,1490882.1036274997,220585.31756559995
378,1138,0,1490882.1036274997,1492926.4139259995,216126.99674079995
379,643,0,1492926.4139259995,1499719.7095962996,214082.68644229995
380,644,0,1499719.7095962996,1502420.3566536997,207289.39077199996
381,645,0,1502420.3566536997,1509324.8647941996,204588.74371459996
382,650,0,1509324.8647941996,1514217.8265711996,197684.23557409996
383,651,0,1514217.8265711996,1516951.0676754995,192791.27379709997
384,652,0,1516951.0676754995,1519170.3024421996,190058.03269279998
385,653,0,1519170.3024421996,1526663.0205834995,187838.79792609997
386,646,0,1526663.0205834995,1533650.3046005995,180346.07978479998
387,647,0,1533650.3046005995,1541064.2690335994,173358.79576769998
388,648,0,1541064.2690335994,1542921.6398909993,165944.8313347
389,649,0,1542921.6398909993,1543250.0089670992,164087.4604773
390,303,0,1543250.0089670992,1545020.3493600993,163759.09140119998
391,304,0,1545020.3493600993,1547132.8234939992,161988.7510082
392,305,0,1547132.8234939992,1553368.483505899,159876.2768743
