,Task,Core,Start,End,Rank
607,859,3,633525.935041,637069.7100833,559418.8106476
608,860,3,637069.7100833,642529.3977121001,555875.0356053
609,852,3,642529.3977121001,643067.2196758001,550415.3479764999
610,853,3,643067.2196758001,644634.4685547,549877.5260127999
611,854,3,644634.4685547,645731.9432644,548310.2771339
612,1264,3,645731.9432644,646383.7188354,42929.3819272
613,1266,3,646383.7188354,651356.9296265,42277.6063562
614,1280,3,658578.0818679999,666314.3508246999,535860.3187397
615,358,3,662807.1510059002,666784.0231409002,48117.654150799994
616,758,3,666784.0231409002,670773.6113112002,593406.224877
617,1209,3,668904.8224439002,670657.8908812002,10347.9070193
618,323,3,673333.5356406003,678508.1599012002,20774.541722
619,324,3,679435.9105006002,679559.5663162002,15599.9174614
620,464,3,679559.5663162002,680225.2321504002,595561.0670223
621,1299,3,680225.2321504002,684117.4816186002,517633.8845318
622,326,3,682153.3325812002,684563.0361814002,12991.4537701
623,466,3,684563.0361814002,685940.2184400002,592706.0956132
624,1285,3,685940.2184400002,687600.0482842003,512196.60534199997
625,367,3,687870.4728947002,690265.1170659002,26717.259176400003
626,770,3,691118.5993706002,695162.3506587002,576260.1634123999
627,842,3,695162.3506587002,698249.2729154002,8470.3408347
628,737,3,738882.2180949004,743705.7508605004,100422.56027910001
629,241,3,743705.7508605004,747945.2130153003,541025.3470291999
630,1054,3,749270.1224582003,754350.3840194003,531833.9667688999
631,273,3,754580.4993895004,760402.8369602003,531475.5079431
632,1057,3,763196.3918288003,764993.4537817003,517907.69739829993
633,1058,3,764993.4537817003,769100.4862894004,516110.6354453999
634,791,3,769100.4862894004,772704.5609690003,11508.3369503
635,792,3,772704.5609690003,780212.7280145003,7904.2622707
636,793,3,780212.7280145003,780608.8232397004,396.0952252
637,1053,3,780608.8232397004,786118.9517231004,501014.03991379996
638,1043,3,786118.9517231004,792618.6569067003,65143.454188
639,1426,3,792618.6569067003,796534.1609429003,63361.2519418
640,245,3,796534.1609429003,800120.1360847004,495290.34845510003
641,1428,3,798595.7041189004,800851.7023057004,59445.7479056
642,246,3,800851.7023057004,804712.6599042004,491704.3733133
643,1332,3,804712.6599042004,810070.1228537003,54548.822165699996
644,985,3,811960.7474923003,815484.5742911004,47328.8338563
645,1336,3,815975.0426270002,823191.4905882003,43286.4394429
646,988,3,823191.4905882003,829775.6310990002,36865.4192242
647,1338,3,825069.1482330003,832590.8271319004,36069.9914817
648,980,3,829775.6310990002,831757.7394953002,30281.278713400003
649,1339,3,832590.8271319004,833190.8465862004,28548.3125828
650,981,3,833190.8465862004,835920.3815010004,28299.1703171
651,982,3,835920.3815010004,836096.8738401004,25569.635402300002
652,983,3,836096.8738401004,841694.4521769003,25393.1430632
